16 1.11076e-42 1.35632e-42 8.74795e-43 1.5557e-42 6.95411e-43
16.125 1.0504e-42 1.28974e-42 8.14308e-43 1.48641e-42 6.5203e-43
16.25 9.96167e-43 1.21975e-42 7.62115e-43 1.42262e-42 6.16152e-43
16.375 9.41867e-43 1.16347e-42 7.16466e-43 1.36105e-42 5.83575e-43
16.5 8.89822e-43 1.11084e-42 6.7802e-43 1.29321e-42 5.53671e-43
16.625 8.41931e-43 1.06083e-42 6.46394e-43 1.22797e-42 5.26581e-43
16.75 7.91412e-43 1.00413e-42 6.07838e-43 1.17312e-42 4.93168e-43
16.875 7.54716e-43 9.59638e-43 5.83348e-43 1.11128e-42 4.7318e-43
17 7.20998e-43 9.15402e-43 5.57846e-43 1.06325e-42 4.5383e-43
17.125 6.88456e-43 8.73169e-43 5.37603e-43 1.0165e-42 4.34757e-43
17.25 6.57557e-43 8.31056e-43 5.17521e-43 9.71047e-43 4.171e-43
17.375 6.27389e-43 7.91796e-43 4.98992e-43 9.26924e-43 4.00706e-43
17.5 6.00165e-43 7.53254e-43 4.82265e-43 8.84148e-43 3.85442e-43
17.625 5.74553e-43 7.16044e-43 4.65905e-43 8.42731e-43 3.71186e-43
17.75 5.4974e-43 6.80353e-43 4.50618e-43 8.02681e-43 3.5783e-43
17.875 5.25722e-43 6.45693e-43 4.32891e-43 7.64e-43 3.45279e-43
18 5.02495e-43 6.12565e-43 4.18295e-43 7.26686e-43 3.33452e-43
18.125 4.80053e-43 5.80945e-43 4.05391e-43 6.90731e-43 3.22344e-43
18.25 4.58337e-43 5.50778e-43 3.91298e-43 6.56126e-43 3.12737e-43
18.375 4.3829e-43 5.22014e-43 3.80283e-43 6.22857e-43 3.06944e-43
18.5 4.19242e-43 4.95515e-43 3.70001e-43 5.90905e-43 3.01455e-43
18.625 4.03225e-43 4.70645e-43 3.5597e-43 5.60251e-43 2.96094e-43
18.75 3.88763e-43 4.47033e-43 3.45941e-43 5.30871e-43 2.85907e-43
18.875 3.75809e-43 4.24296e-43 3.33207e-43 5.02741e-43 2.75993e-43
19 3.62723e-43 4.03042e-43 3.23222e-43 4.76261e-43 2.68988e-43
19.125 3.50334e-43 3.8261e-43 3.12166e-43 4.52637e-43 2.62567e-43
19.25 3.34142e-43 3.63161e-43 3.0151e-43 4.29948e-43 2.54755e-43
19.375 3.20127e-43 3.45886e-43 2.89429e-43 4.07135e-43 2.42371e-43
19.5 3.05588e-43 3.28822e-43 2.79841e-43 3.84628e-43 2.35077e-43
19.625 2.92464e-43 3.13984e-43 2.69058e-43 3.63201e-43 2.29484e-43
19.75 2.80885e-43 3.00673e-43 2.58839e-43 3.42816e-43 2.17479e-43
19.875 2.68436e-43 2.85433e-43 2.46986e-43 3.23438e-43 2.06048e-43
20 2.55247e-43 2.72618e-43 2.35749e-43 3.05028e-43 1.97446e-43
20.125 2.43403e-43 2.58648e-43 2.24453e-43 2.93905e-43 1.88337e-43
20.25 2.32574e-43 2.46947e-43 2.14329e-43 2.83123e-43 1.80194e-43
20.375 2.20698e-43 2.34866e-43 2.03621e-43 2.67027e-43 1.73254e-43
20.5 2.10193e-43 2.24235e-43 1.92927e-43 2.56482e-43 1.66482e-43
20.625 2.00317e-43 2.13002e-43 1.83662e-43 2.46129e-43 1.59844e-43
20.75 1.90548e-43 2.02184e-43 1.73919e-43 2.34648e-43 1.5353e-43
20.875 1.80385e-43 1.93288e-43 1.64626e-43 2.20598e-43 1.46947e-43
21 1.71109e-43 1.84832e-43 1.55563e-43 2.07212e-43 1.40329e-43
21.125 1.61642e-43 1.76545e-43 1.46823e-43 1.96037e-43 1.33155e-43
21.25 1.52673e-43 1.66654e-43 1.38518e-43 1.86374e-43 1.26006e-43
21.375 1.45072e-43 1.59046e-43 1.30767e-43 1.77549e-43 1.19215e-43
21.5 1.37096e-43 1.51263e-43 1.23767e-43 1.69053e-43 1.12765e-43
21.625 1.29188e-43 1.43908e-43 1.16637e-43 1.60853e-43 1.06583e-43
21.75 1.21708e-43 1.36277e-43 1.10151e-43 1.52909e-43 1.00685e-43
21.875 1.14637e-43 1.29902e-43 1.04041e-43 1.45225e-43 9.51064e-44
22 1.08354e-43 1.23744e-43 9.82201e-44 1.37806e-43 8.98298e-44
22.125 1.02351e-43 1.16998e-43 9.29694e-44 1.30655e-43 8.48405e-44
22.25 9.65e-44 1.10744e-43 8.79831e-44 1.23859e-43 8.01241e-44
22.375 9.15223e-44 1.04851e-43 8.29224e-44 1.17749e-43 7.56665e-44
22.5 8.61694e-44 9.93951e-44 7.81672e-44 1.11838e-43 7.15367e-44
22.625 8.11994e-44 9.42955e-44 7.39157e-44 1.0612e-43 6.76538e-44
22.75 7.67243e-44 8.93969e-44 6.97596e-44 9.96611e-44 6.39847e-44
22.875 7.22952e-44 8.45822e-44 6.57881e-44 9.35468e-44 6.04843e-44
23 6.81087e-44 8.00628e-44 6.20725e-44 8.79949e-44 5.70249e-44
23.125 6.40041e-44 7.57557e-44 5.85637e-44 8.30105e-44 5.36523e-44
23.25 6.00271e-44 7.15984e-44 5.5068e-44 7.82567e-44 5.06315e-44
23.375 5.62965e-44 6.76337e-44 5.17454e-44 7.37712e-44 4.78127e-44
23.5 5.29199e-44 6.39146e-44 4.85431e-44 6.97384e-44 4.5146e-44
23.625 4.98087e-44 6.03933e-44 4.56341e-44 6.5893e-44 4.25654e-44
23.75 4.68812e-44 5.70295e-44 4.30033e-44 6.22298e-44 4.00145e-44
23.875 4.42012e-44 5.37604e-44 4.04098e-44 5.87433e-44 3.76198e-44
24 4.17331e-44 5.04577e-44 3.804e-44 5.54279e-44 3.54515e-44
24.125 3.93983e-44 4.73598e-44 3.5818e-44 5.22779e-44 3.34127e-44
